ticker,liquidity,beta,sharpe,pe_ratio,momentum
GGBR3.SA,73856.55737704918,0.747393703338381,-0.005305854739456147,7.417431,0.01661863790483098
GGBR4.SA,12816845.901639344,0.7786521592838866,-0.024119756491760555,7.9082565,-0.026756116463479418
GOAU3.SA,66371.31147540984,0.9346783743941924,-0.04973015193088294,6.4133334,-0.08195125981444507
GOAU4.SA,8555581.967213115,0.9037388628693993,-0.04630723808683907,6.346667,-0.07919747135130406
GOLL4.SA,6009222.950819672,0.7839500746501367,0.07633153283823697,,0.38556102788161606
GRND3.SA,1225126.2295081967,0.7193729577263333,-0.00027759742761767167,6.8765435,0.028146979255805005
HBOR3.SA,692840.1639344263,1.9280617673964668,-0.022504127978269735,4.2,-0.05517350164411061
PRIO3.SA,9273236.06557377,0.9605677642652923,-0.07614474087219732,3.2139952,-0.14316582585234794
HYPE3.SA,6424016.393442623,0.7638571387584823,-0.10212160799791971,9.50711,-0.24388786362930526
MEAL3.SA,456821.31147540984,0.8835694361183737,-0.07426360757084982,,-0.19896980487042715
INEP3.SA,40136.065573770495,0.12159687765661126,-0.044639772554482135,0.12911844,-0.15740569897818957
INEP4.SA,33046.72131147541,0.4542002224680435,-0.04370225549468514,0.11417004,-0.18202590260698404
ITSA3.SA,172815.368852459,1.0173411805991932,0.010822810201092914,7.3161764,0.04720911194174848
ITSA4.SA,28683458.721311476,1.180520723070239,-0.013685425923943924,7.0441175,0.005194494987992293
ITUB3.SA,679113.524590164,1.020561520662295,0.009054406281537685,7.5291004,0.04382224273729807
JBSS3.SA,8337990.163934426,0.7678432750227768,0.0929049118254606,12.312312,0.3126369481575262
JFEN3.SA,61370.24590163935,1.066800041810953,-0.09916452023076709,,-0.6733096060111534
JHSF3.SA,3440453.2786885244,1.5049900540026777,-0.004912341016121276,4.241758,0.015526575283802524
JSLG3.SA,549836.8852459016,2.52837551715117,-0.07929573483049604,4.219697,-0.33771485347258423
KEPL3.SA,1124502.4590163934,1.2291312346866399,-0.08317880728388552,7.0088496,-0.19716443411543183
KLBN4.SA,1374172.1311475409,0.5053196176272787,-0.0036139052402692673,12.833332,0.022447169092613017
LEVE3.SA,346879.5081967213,0.7769896471557929,-0.039028651939843714,7.095,-0.04289729189681879
LIGT3.SA,642875.8524590164,0.6981380429187549,-0.08579675250341261,,-0.3678428942723213
LOGN3.SA,76727.04918032787,0.7055999636732522,-0.13508727975972804,15.304965,-0.43531242315627117
LPSB3.SA,137213.9344262295,1.1098296275673767,-0.06210536338296611,15.111111,-0.20530731473842734
LREN3.SA,18074935.327868853,2.0371793381555863,-0.0701579874129735,10.929204,-0.23535417099742784
LUPA3.SA,177800.0,0.9561884588656048,-0.00954364727381207,1.1484075e-05,-0.005499449028068648
MDIA3.SA,890216.393442623,1.0195600528333124,-0.005265918443394247,12.481676,0.011253986113320291
MGEL4.SA,1415.5737704918033,0.6477598905892158,-0.08586165654097024,,-0.42468853603180745
MGLU3.SA,27254832.786885247,3.016762871181567,0.015923875408153713,16.737705,0.1116979623592832
MILS3.SA,905595.0819672131,1.3619569113354282,-0.05017102470398949,8.260504,-0.09067901625921404
ENEV3.SA,9112342.62295082,1.1613162807006119,-0.06674867315742623,396.0,-0.13932554908683292
MRFG3.SA,8286884.426229509,0.8178728729005003,0.11716057018828589,9.444445,0.46088284160563986
MRVE3.SA,12969845.081967212,2.0812975488674312,-0.08857834110653978,,-0.3219848729665833
MULT3.SA,4418535.24590164,1.2233841397795129,-0.05782275208069973,9.672269,-0.08734149990216122
MYPK3.SA,1171259.0163934426,1.1715197258979146,0.07133574323004016,7.1525426,0.22467795085495967
ODPV3.SA,981064.7540983607,0.7574161763969748,-0.003617088760306237,10.979797,0.01979134722860565
OSXB3.SA,4409.016393442623,0.05620586664654547,-0.03474395351036971,,-0.10486119963252138
PDGR3.SA,612815.475409836,-87.37191082450018,0.09093981002673925,0.0029445323,70.10360390322421
PETR3.SA,9251826.229508197,0.7147735042650201,0.026372053701866533,12.231004,0.07699875911554832
PETR4.SA,31868373.770491805,0.6219976128065974,0.037247919563468575,11.170213,0.08427683351510751
PFRM3.SA,247224.59016393442,1.045207125835944,0.115029347991406,7.752688,0.3667300969498616
PINE4.SA,204656.10655737706,0.7642259341149027,-0.00044153660892399773,3.9732141,0.027713082263724598
PLAS3.SA,422.31404958677683,0.4087270101183772,0.016653088808355476,,0.11016306248643781
PMAM3.SA,340753.34426229505,-0.8000237920263116,-0.0396272511175436,,-0.30281146942573833
POMO3.SA,452670.4918032787,1.4651743354946363,-0.002558312550364895,5.018348,0.020642102035487442
POMO4.SA,11769570.49180328,1.4305820373766467,-0.012355739136477186,6.4036694,-0.011146440887260689
POSI3.SA,1140975.4098360655,2.0632498393715233,-0.015328972075006546,8.982456,-0.032545276764557096
PSSA3.SA,2181212.295081967,0.711905109676785,0.08730469423566822,10.132353,0.17500254847539176
PTBL3.SA,410625.40983606555,1.8532467946087456,-0.07019437196603828,,-0.24603148462696722
PTNT4.SA,8114.754098360656,0.20284685499570654,0.041522207380872395,11.692308,0.14150683740200232
QUAL3.SA,4557594.262295082,2.1652619806528146,0.006955711265312616,87.5,0.07279398199867038
RAPT3.SA,28112.29508196721,1.106272248936809,-0.009107863484088862,6.870968,0.005713120947093198
RAPT4.SA,2511852.4590163934,1.2496131476764702,-0.07094358706240342,7.435484,-0.15009503178392825
RDNI3.SA,7262.295081967213,0.7559259876037375,-0.03409266356242938,,-0.12651453162387616
RENT3.SA,10616414.754098361,1.9020101201104411,-0.06939501289201794,19.254438,-0.20947301138265761
RNEW11.SA,12651.393442622952,1.4015612452795496,0.040674845417436656,,0.5220442043185255
ROMI3.SA,169875.40983606558,1.0332419547734246,-0.07018260656344213,7.6147537,-0.10694213155110144
RSID3.SA,50660.65573770492,0.4271879851201631,0.004551379890179199,0.20962198,0.046630530705807804
